ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9920771,HY109612,01/09/2015 11:58:00 PM,023XX N MC VICKER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,2512,025,37,19,08B,1135717,1915014,2015,01/16/2015 12:48:48 PM,41.922976368,-87.776757381,"(41.922976368, -87.776757381)"
9920767,HY109602,01/09/2015 11:56:00 PM,007XX W 48TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,false,false,0935,009,11,61,14,1172300,1873004,2015,01/16/2015 12:48:48 PM,41.806967596,-87.643579321,"(41.806967596, -87.643579321)"
9920723,HY109629,01/09/2015 11:55:00 PM,001XX S KENTON AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,1113,011,28,25,16,1145635,1899142,2015,01/16/2015 12:48:48 PM,41.879239448,-87.740717694,"(41.879239448, -87.740717694)"
9920726,HY109623,01/09/2015 11:52:00 PM,034XX W PETERSON AVE,1330,CRIMINAL TRESPASS,TO LAND,OTHER,true,false,1711,017,39,13,26,1152590,1939632,2015,01/16/2015 12:48:48 PM,41.990212599,-87.714106078,"(41.990212599, -87.714106078)"
9920746,HY109609,01/09/2015 11:50:00 PM,059XX W DIVISION ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,CONVENIENCE STORE,true,false,1511,015,29,25,24,1136554,1907343,2015,01/16/2015 12:48:48 PM,41.901911281,-87.773865763,"(41.901911281, -87.773865763)"
9920724,HY109624,01/09/2015 11:47:00 PM,076XX S KINGSTON AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,true,false,0421,004,7,43,26,1194562,1854670,2015,01/16/2015 12:48:48 PM,41.756138638,-87.562533409,"(41.756138638, -87.562533409)"
9920803,HY109597,01/09/2015 11:45:00 PM,011XX N KEYSTONE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1111,011,27,23,14,1149130,1907555,2015,01/16/2015 12:48:48 PM,41.902258681,-87.727666475,"(41.902258681, -87.727666475)"
9921540,HY110782,01/09/2015 11:45:00 PM,020XX W ADAMS ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE PORCH/HALLWAY,false,false,1225,012,2,28,11,1162804,1899043,2015,01/16/2015 12:48:48 PM,41.878625165,-87.67767864,"(41.878625165, -87.67767864)"
9920737,HY109586,01/09/2015 11:39:00 PM,039XX W DIVISION ST,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,1112,011,27,23,18,1149620,1907671,2015,01/16/2015 12:48:48 PM,41.90256749,-87.725863599,"(41.90256749, -87.725863599)"
9926565,HY115378,01/09/2015 11:37:00 PM,012XX N BOSWORTH AVE,1110,DECEPTIVE PRACTICE,BOGUS CHECK,ATM (AUTOMATIC TELLER MACHINE),false,false,1433,014,1,24,11,1165822,1908324,2015,01/16/2015 12:48:48 PM,41.904029116,-87.666332283,"(41.904029116, -87.666332283)"
9920743,HY109601,01/09/2015 11:30:00 PM,036XX W 70TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,0833,008,13,65,08B,1153024,1857899,2015,01/16/2015 12:48:48 PM,41.765919966,-87.714676742,"(41.765919966, -87.714676742)"
9920704,HY109580,01/09/2015 11:25:00 PM,056XX W WASHINGTON BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1513,015,29,25,08B,1138543,1900139,2015,01/16/2015 12:48:48 PM,41.882106773,-87.766734528,"(41.882106773, -87.766734528)"
9920818,HY109578,01/09/2015 11:23:00 PM,080XX S MAY ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,true,true,0612,006,21,71,14,1170084,1851667,2015,01/16/2015 12:48:48 PM,41.748464812,-87.65232663,"(41.748464812, -87.65232663)"
9920717,HY109593,01/09/2015 11:20:00 PM,012XX S PULASKI RD,2020,NARCOTICS,POSS: AMPHETAMINES,STREET,true,false,1011,010,24,29,18,1149948,1894287,2015,01/16/2015 12:48:48 PM,41.865833958,-87.725007283,"(41.865833958, -87.725007283)"
9920787,HY109585,01/09/2015 11:20:00 PM,068XX S HARPER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0332,003,5,43,08B,1187526,1859851,2015,01/16/2015 12:48:48 PM,41.770525859,-87.588153941,"(41.770525859, -87.588153941)"
9920759,HY109582,01/09/2015 11:15:00 PM,016XX N WELLS ST,0860,THEFT,RETAIL THEFT,DRUG STORE,true,false,1814,018,43,7,06,1174448,1911019,2015,01/16/2015 12:48:48 PM,41.911235908,-87.634566428,"(41.911235908, -87.634566428)"
9920770,HY109566,01/09/2015 11:07:00 PM,077XX S CARPENTER ST,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,false,false,0612,006,17,71,03,1170697,1853437,2015,01/16/2015 12:48:48 PM,41.753308591,-87.650028876,"(41.753308591, -87.650028876)"
9920768,HY109559,01/09/2015 11:00:00 PM,041XX W DIVISION ST,1330,CRIMINAL TRESPASS,TO LAND,TAVERN/LIQUOR STORE,false,false,2534,025,37,23,26,1148211,1907712,2015,01/16/2015 12:48:48 PM,41.90270726,-87.731038081,"(41.90270726, -87.731038081)"
9921216,HY110168,01/09/2015 11:00:00 PM,050XX S KILDARE AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,ALLEY,false,false,0815,008,23,57,14,1148513,1870686,2015,01/16/2015 12:48:48 PM,41.801097387,-87.730882947,"(41.801097387, -87.730882947)"
9920884,HY109799,01/09/2015 11:00:00 PM,020XX W WEBSTER AVE,0810,THEFT,OVER $500,STREET,false,false,1432,014,32,22,06,1162438,1914660,2015,01/16/2015 12:48:48 PM,41.921487078,-87.678584879,"(41.921487078, -87.678584879)"
9920792,HY109635,01/09/2015 11:00:00 PM,060XX S RUTHERFORD AVE,0810,THEFT,OVER $500,STREET,false,false,0812,008,23,64,06,1132484,1863640,2015,01/16/2015 12:48:48 PM,41.782055114,-87.789831521,"(41.782055114, -87.789831521)"
9920988,HY109903,01/09/2015 11:00:00 PM,012XX N STATE PKWY,0820,THEFT,$500 AND UNDER,BAR OR TAVERN,false,false,1824,018,42,8,06,1176025,1908583,2015,01/16/2015 12:48:48 PM,41.904516014,-87.62884662,"(41.904516014, -87.62884662)"
9920703,HY109589,01/09/2015 11:00:00 PM,055XX W HOMER ST,0820,THEFT,$500 AND UNDER,OTHER,false,false,2515,025,29,25,06,1139198,1912192,2015,01/16/2015 12:48:48 PM,41.915169775,-87.764035643,"(41.915169775, -87.764035643)"
9926611,HY115448,01/09/2015 11:00:00 PM,050XX S KEDVALE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0815,008,14,57,06,1149589,1870917,2015,01/16/2015 12:48:48 PM,41.801710522,-87.726930849,"(41.801710522, -87.726930849)"
9921226,HY110289,01/09/2015 11:00:00 PM,084XX S SANGAMON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0613,006,21,71,08B,1171500,1848553,2015,01/16/2015 12:48:48 PM,41.739888708,-87.647228899,"(41.739888708, -87.647228899)"
9921962,HY111364,01/09/2015 11:00:00 PM,128XX S LOWE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,true,0523,005,9,53,26,1174357,1819893,2015,01/16/2015 12:48:48 PM,41.661178418,-87.637609532,"(41.661178418, -87.637609532)"
9920690,HY109569,01/09/2015 11:00:00 PM,004XX W 87TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2223,022,21,71,07,1174545,1847088,2015,01/16/2015 12:48:48 PM,41.735801398,-87.636115961,"(41.735801398, -87.636115961)"
9920740,HY109536,01/09/2015 10:50:00 PM,111XX S MICHIGAN AVE,5011,OTHER OFFENSE,LICENSE VIOLATION,CONVENIENCE STORE,false,false,0531,005,9,49,26,1178828,1831349,2015,01/16/2015 12:48:48 PM,41.692515209,-87.620901847,"(41.692515209, -87.620901847)"
9920705,HY109567,01/09/2015 10:50:00 PM,008XX W 63RD ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0712,007,16,68,18,1172017,1863123,2015,01/16/2015 12:48:48 PM,41.779859285,-87.644907483,"(41.779859285, -87.644907483)"
9920776,HY109551,01/09/2015 10:50:00 PM,032XX W LAKE ST,0460,BATTERY,SIMPLE,CTA PLATFORM,false,false,1123,011,28,27,08B,1154949,1901116,2015,01/16/2015 12:48:48 PM,41.884474729,-87.706465091,"(41.884474729, -87.706465091)"
9920735,HY109596,01/09/2015 10:50:00 PM,073XX S KINGSTON AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE,false,true,0334,003,7,43,04A,1194154,1856792,2015,01/16/2015 12:48:48 PM,41.761971588,-87.563959061,"(41.761971588, -87.563959061)"
9920757,HY109544,01/09/2015 10:49:00 PM,062XX N CICERO AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,PARKING LOT/GARAGE(NON.RESID.),false,false,1711,017,39,12,14,1143316,1940849,2015,01/16/2015 12:48:48 PM,41.993731069,-87.748187501,"(41.993731069, -87.748187501)"
9920715,HY109571,01/09/2015 10:45:00 PM,046XX N BROADWAY,0820,THEFT,$500 AND UNDER,CTA TRAIN,false,false,1913,019,46,3,06,1167917,1930903,2015,01/16/2015 12:48:48 PM,41.965942034,-87.657983512,"(41.965942034, -87.657983512)"
9920682,HY109556,01/09/2015 10:40:00 PM,015XX E 68TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,true,false,0332,003,5,43,18,1187639,1860247,2015,01/16/2015 12:48:48 PM,41.77160983,-87.587727149,"(41.77160983, -87.587727149)"
9920708,HY109558,01/09/2015 10:31:00 PM,059XX N TALMAN AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,true,false,2011,020,40,2,26,1157544,1939616,2015,01/16/2015 12:48:48 PM,41.990068955,-87.695884638,"(41.990068955, -87.695884638)"
9920722,HY109553,01/09/2015 10:30:00 PM,038XX S PRINCETON AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,true,false,0915,009,3,34,26,1174953,1879621,2015,01/16/2015 12:48:48 PM,41.825066411,-87.633651392,"(41.825066411, -87.633651392)"
9920793,HY109685,01/09/2015 10:30:00 PM,014XX W LAKE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1224,012,27,28,07,1166664,1901500,2015,01/16/2015 12:48:48 PM,41.88528557,-87.663435129,"(41.88528557, -87.663435129)"
9921007,HY109959,01/09/2015 10:30:00 PM,035XX S WOOD ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,true,0912,009,11,59,26,1164896,1880957,2015,01/16/2015 12:48:48 PM,41.828951364,-87.670509873,"(41.828951364, -87.670509873)"
